,아파트,금액,층,면적,건축,계약,동,거래,파기
0,초롱꽃6금강펜테리움,49200,13,84.71,2022,12.2,동패동,, 
1,당동주공2,18300,9,59.42,2002,12.16,문산읍,, 
2,산내9힐스테이트운정,40000,26,59.98,2018,12.16,목동동,직, 
3,가람11동문굿모닝힐,35800,14,84.86,2010,12.16,와동동,, 
4,가람3동문굿모닝힐,38000,8,84.46,2001,12.14,와동동,직, 
5,한빛9롯데캐슬1차,50000,6,74.57,2017,12.14,야당동,, 
6,초롱꽃6금강펜테리움,49200,12,84.71,2022,12.13,동패동,, 
7,성원포레스타운,23500,9,84.75,2000,12.13,검산동,, 
8,한빛4롯데캐슬Ⅱ,40000,9,60.18,2018,12.12,야당동,, 
9,초롱꽃6금강펜테리움,49000,12,84.71,2022,12.12,동패동,, 
10,산내9힐스테이트운정,42500,7,59.98,2018,12.12,목동동,, 
11,문산선유4휴먼시아,27700,6,84.91,2011,12.11,문산읍,, 
12,파주한양수자인리버팰리스,28300,21,84.86,2015,12.1,문산읍,, 
13,한빛5캐슬앤칸타빌,49000,21,84.19,2012,12.1,야당동,, 
14,파주연풍양우내안愛에코하임,22053,15,59.99,2022,12.1,파주읍,, 
15,책향기10동문굿모닝힐,33000,1,84.88,2005,12.09,동패동,, 
16,한빛9롯데캐슬1차,42000,29,59.93,2017,12.09,야당동,, 
17,한빛5캐슬앤칸타빌,46700,10,84.19,2012,12.08,야당동,, 
18,해솔2월드메르디앙,20000,2,59.99,2001,12.08,목동동,, 
19,대방노블랜드,17500,13,59.73,2001,12.08,야동동,, 
20,한진2차,16000,10,76.68,1993,12.07,문산읍,, 
21,성호,18000,19,59.97,1997,12.07,조리읍,, 
22,파주연풍양우내안愛에코하임,20000,14,59.99,2022,12.06,파주읍,, 
23,해솔7롯데캐슬,48500,20,84.34,2014,12.06,와동동,, 
24,해오름14푸르지오파르세나,46100,12,84.98,2022,12.06,다율동,, 
25,파주힐스테이트1차,34800,5,84.96,2009,12.06,문산읍,, 
26,팜스프링,19900,17,59.98,2001,12.06,아동동,, 
27,대방노블랜드,13000,10,45.68,2001,12.05,야동동,, 
28,파주연풍양우내안愛에코하임,24900,10,74.92,2022,12.05,파주읍,, 
29,파주한양수자인리버팰리스,23100,7,63.89,2015,12.05,문산읍,직, 
30,산내10운정푸르지오,59900,14,84.99,2018,12.04,목동동,, 
31,한빛4롯데캐슬Ⅱ,44000,19,60.67,2018,12.03,야당동,직, 
32,경신그린,11000,6,37.45,1999,12.03,금촌동,, 
33,한울1운정IPARK,60000,6,84.95,2020,12.03,동패동,, 
34,신안실크밸리2차,29700,11,84.76,2010,12.02,아동동,, 
35,안산율곡2차,9500,8,59.87,1994,12.02,법원읍,, 
36,대방노블랜드,26000,8,84.97,2006,12.02,금촌동,, 
37,한빛5캐슬앤칸타빌,46500,17,84.05,2012,12.01,야당동,, 
38,해오름14푸르지오파르세나,46453,9,84.98,2022,12.01,다율동,, 
39,에이스큐브,12452,4,15.98,2020,11.3,금촌동,직, 
40,에이스큐브,11343,8,15.21,2020,11.3,금촌동,직, 
41,에이스큐브,12677,6,15.89,2020,11.3,금촌동,직, 
42,에이스큐브,10444,6,14.01,2020,11.3,금촌동,직, 
43,에이스큐브,10444,6,14.01,2020,11.3,금촌동,직, 
44,에이스큐브,11343,6,15.21,2020,11.3,금촌동,직, 
45,에이스큐브,11343,6,15.21,2020,11.3,금촌동,직, 
46,에이스큐브,11343,6,15.21,2020,11.3,금촌동,직, 
47,에이스큐브,11343,6,15.21,2020,11.3,금촌동,직, 
48,에이스큐브,11343,6,15.21,2020,11.3,금촌동,직, 
49,에이스큐브,11343,6,15.21,2020,11.3,금촌동,직, 
50,에이스큐브,11473,6,14.12,2020,11.3,금촌동,직, 
51,에이스큐브,11343,7,15.21,2020,11.3,금촌동,직, 
52,에이스큐브,11343,7,15.21,2020,11.3,금촌동,직, 
53,에이스큐브,10444,7,14.01,2020,11.3,금촌동,직, 
54,에이스큐브,11343,7,15.21,2020,11.3,금촌동,직, 
55,에이스큐브,11343,7,15.21,2020,11.3,금촌동,직, 
56,에이스큐브,11343,7,15.21,2020,11.3,금촌동,직, 
57,에이스큐브,11343,7,15.21,2020,11.3,금촌동,직, 
58,에이스큐브,11343,7,15.21,2020,11.3,금촌동,직, 
59,에이스큐브,11343,8,15.21,2020,11.3,금촌동,직, 
60,에이스큐브,11343,8,15.21,2020,11.3,금촌동,직, 
61,에이스큐브,11343,8,15.21,2020,11.3,금촌동,직, 
62,에이스큐브,11343,6,15.21,2020,11.3,금촌동,직, 
63,에이스큐브,11343,6,15.21,2020,11.3,금촌동,직, 
64,에이스큐브,11473,5,14.12,2020,11.3,금촌동,직, 
65,에이스큐브,11473,4,14.12,2020,11.3,금촌동,직, 
66,에이스큐브,12510,4,15.61,2020,11.3,금촌동,직, 
67,에이스큐브,10444,4,14.01,2020,11.3,금촌동,직, 
