,아파트,금액,층,면적,건축,계약,동,거래,파기
0,경신그린,    11000,6,37.45,1999,12.03,금촌동,, 
1,신안실크밸리2차,    29700,11,84.76,2010,12.02,아동동,, 
2,팜스프링,    19900,17,59.98,2001,12.06,아동동,, 
3,대방노블랜드,    13000,10,45.68,2001,12.05,야동동,, 
4,대방노블랜드,    17500,13,59.73,2001,12.08,야동동,, 
5,한빛5캐슬앤칸타빌,    46500,17,84.05,2012,12.01,야당동,, 
6,한빛4롯데캐슬Ⅱ,    44000,19,60.67,2018,12.03,야당동,직, 
7,한빛5캐슬앤칸타빌,    46700,10,84.19,2012,12.08,야당동,, 
8,한빛9롯데캐슬1차,    42000,29,59.93,2017,12.09,야당동,, 
9,해오름14푸르지오파르세나,    46453,9,84.98,2022,12.01,다율동,, 
10,해오름14푸르지오파르세나,    46100,12,84.98,2022,12.06,다율동,, 
11,한울1운정IPARK,    60000,6,84.95,2020,12.03,동패동,, 
12,책향기10동문굿모닝힐,    33000,1,84.88,2005,12.09,동패동,, 
13,초롱꽃6금강펜테리움,    49200,12,84.71,2022,12.13,동패동,, 
14,문산선유4휴먼시아,    27700,6,84.91,2011,12.11,문산읍,, 
15,파주연풍양우내안愛에코하임,    24900,10,74.92,2022,12.05,파주읍,, 
16,파주연풍양우내안愛에코하임,    20000,14,59.99,2022,12.06,파주읍,, 
17,파주연풍양우내안愛에코하임,    22053,15,59.99,2022,12.10,파주읍,, 
18,안산율곡2차,     9500,8,59.87,1994,12.02,법원읍,, 
19,성호,    18000,19,59.97,1997,12.07,조리읍,, 
20,금촌타워,    19000,11,115.57,1997,11.01,금촌동,,11.15
21,그린,     7200,6,19.59,2012,11.01,금촌동,, 
22,주공,    17500,6,49.97,1997,11.01,금촌동,, 
23,경신그린,    15500,12,53.79,1999,11.02,금촌동,, 
24,아림프라자복합상가,    14000,5,81.06,1997,11.02,금촌동,, 
25,동현,    14700,9,53.51,1990,11.03,금촌동,, 
26,동현,    15400,11,53.51,1990,11.04,금촌동,, 
27,보광그랑베르,     6900,10,15.78,2013,11.04,금촌동,, 
28,쇠재5뜨란채주공,    24000,14,59.06,2004,11.04,금촌동,직,11.07
29,새꽃1뜨란채,    24900,17,59.99,2004,11.04,금촌동,, 
30,후곡1중앙하이츠,    42200,18,101.98,2005,11.07,금촌동,, 
31,후곡1중앙하이츠,    40000,6,101.98,2005,11.10,금촌동,, 
32,후곡4뜨란채주공,    31800,8,84.87,2004,11.11,금촌동,, 
33,대방노블랜드,    23850,2,90.10,2006,11.11,금촌동,, 
34,쇠재5뜨란채주공,    25800,10,59.06,2004,11.11,금촌동,, 
35,쇠재5뜨란채주공,    23500,10,59.06,2004,11.15,금촌동,, 
36,후곡4뜨란채주공,    31800,14,84.87,2004,11.16,금촌동,, 
37,금촌주공7,    32000,15,84.03,2005,11.16,금촌동,, 
38,금촌주공7,    30000,4,84.03,2005,11.17,금촌동,,11.24
39,보광그랑베르,    12500,15,41.34,2013,11.17,금촌동,, 
40,금촌주공7,    30000,4,84.03,2005,11.17,금촌동,, 
41,금촌주공7,    30000,4,84.03,2005,11.17,금촌동,,11.21
42,후곡6주공,    26300,12,59.56,2004,11.19,금촌동,, 
43,경신그린,    13500,4,53.79,1999,11.21,금촌동,, 
44,대방노블랜드,    29000,8,84.97,2006,11.21,금촌동,, 
45,새꽃1뜨란채,    24700,13,59.99,2004,11.22,금촌동,, 
46,에이스큐브,    11400,10,17.30,2020,11.22,금촌동,, 
47,그린,     7200,10,19.59,2012,11.22,금촌동,직, 
48,후곡6주공,    26500,15,59.56,2004,11.22,금촌동,, 
49,그린,     7000,11,19.59,2012,11.24,금촌동,, 
50,동현,    17200,3,72.99,1990,11.29,금촌동,, 
51,후곡6주공,    26500,8,59.56,2004,11.29,금촌동,, 
52,에이스큐브,    11343,4,15.21,2020,11.30,금촌동,직, 
53,에이스큐브,    11473,9,14.12,2020,11.30,금촌동,직, 
54,에이스큐브,    11343,9,15.21,2020,11.30,금촌동,직, 
55,에이스큐브,    11343,9,15.21,2020,11.30,금촌동,직, 
56,에이스큐브,    11343,9,15.21,2020,11.30,금촌동,직, 
57,에이스큐브,    11343,9,15.21,2020,11.30,금촌동,직, 
58,에이스큐브,    11343,9,15.21,2020,11.30,금촌동,직, 
59,에이스큐브,    12452,9,15.98,2020,11.30,금촌동,직, 
60,에이스큐브,    10444,9,14.01,2020,11.30,금촌동,직, 
61,에이스큐브,    11343,9,15.21,2020,11.30,금촌동,직, 
62,에이스큐브,    11343,9,15.21,2020,11.30,금촌동,직, 
63,에이스큐브,    10444,8,14.01,2020,11.30,금촌동,직, 
64,에이스큐브,    11343,8,15.21,2020,11.30,금촌동,직, 
65,에이스큐브,    11343,8,15.21,2020,11.30,금촌동,직, 
66,에이스큐브,    11343,8,15.21,2020,11.30,금촌동,직, 
67,에이스큐브,    11343,8,15.21,2020,11.30,금촌동,직, 
68,에이스큐브,    11343,8,15.21,2020,11.30,금촌동,직, 
69,에이스큐브,    10444,8,14.01,2020,11.30,금촌동,직, 
70,에이스큐브,    10444,8,14.01,2020,11.30,금촌동,직, 
71,에이스큐브,    11343,8,15.21,2020,11.30,금촌동,직, 
72,에이스큐브,    11343,8,15.21,2020,11.30,금촌동,직, 
73,에이스큐브,    11343,8,15.21,2020,11.30,금촌동,직, 
74,에이스큐브,    11343,7,15.21,2020,11.30,금촌동,직, 
75,에이스큐브,    11343,7,15.21,2020,11.30,금촌동,직, 
76,에이스큐브,    11343,7,15.21,2020,11.30,금촌동,직, 
77,에이스큐브,    11343,7,15.21,2020,11.30,금촌동,직, 
78,에이스큐브,    11343,7,15.21,2020,11.30,금촌동,직, 
79,에이스큐브,    10444,7,14.01,2020,11.30,금촌동,직, 
80,에이스큐브,    11343,7,15.21,2020,11.30,금촌동,직, 
81,에이스큐브,    11343,7,15.21,2020,11.30,금촌동,직, 
82,에이스큐브,    11473,6,14.12,2020,11.30,금촌동,직, 
